Symbol,Name,Sector,Industry
ADNT,Adient plc Ordinary Shares ,Consumer Discretionary,Auto Parts:O.E.M.
ADP,Automatic Data Processing Inc. Common Stock,Industrials,Diversified Commercial Services
ADPT,Adaptive Biotechnologies Corporation Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADSK,Autodesk Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ADT,ADT Inc. Common Stock,Consumer Discretionary,Diversified Commercial Services
ADTN,ADTRAN Holdings Inc. Common Stock,Utilities,Telecommunications Equipment
ADTX,Aditxt Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ADUS,Addus HomeCare Corporation Common Stock,Health Care,Medical/Nursing Services
ADV,Advantage Solutions Inc. Class A Common Stock,Real Estate,Real Estate
ADX,Adams Diversified Equity Fund Inc.,Finance,Investment Managers
AEE,Ameren Corporation Common Stock,Utilities,Power Generation
AEF,abrdn Emerging Markets ex-China Fund Inc. Common Stock,Finance,Finance/Investors Services
AEFC,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049,,
AEHR,Aehr Test Systems Common Stock,Industrials,Electrical Products
AEI,Alset Inc. Common Stock (TX),Finance,Real Estate
AEIS,Advanced Energy Industries Inc. Common Stock,Technology,Industrial Machinery/Components
AEMD,Aethlon Medical Inc. Common Stock,Health Care,Medical/Dental Instruments
AENT,Alliance Entertainment Holding Corporation Class A Common Stock,Consumer Discretionary,Durable Goods
AENTW,Alliance Entertainment Holding Corporation Warrant,Consumer Discretionary,Durable Goods
AEO,American Eagle Outfitters Inc. Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
AEON,AEON Biopharma Inc. Class A Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AEP,American Electric Power Company Inc. Common Stock,Utilities,Electric Utilities: Central
AERT,Aeries Technology Inc. Class A Ordinary Share,Consumer Discretionary,Professional Services
AERTW,Aeries Technology Inc. Warrant,Consumer Discretionary,Professional Services
AES,The AES Corporation Common Stock,Utilities,Electric Utilities: Central
AESI,Atlas Energy Solutions Inc. Common Stock,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
AEVA,Aeva Technologies Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
AEYE,AudioEye Inc. Common Stock,Technology,Computer Software: Prepackaged Software
AFB,AllianceBernstein National Municipal Income Fund Inc,Finance,Trusts Except Educational Religious and Charitable
AFBI,Affinity Bancshares Inc. Common Stock (MD),Finance,Banks
AFCG,Advanced Flower Capital Inc. Common Stock,Finance,Real Estate
AFG,American Financial Group Inc. Common Stock,Finance,Property-Casualty Insurers
AFGB,American Financial Group Inc. 5.875% Subordinated Debentures due 2059,Finance,Property-Casualty Insurers
AFGC,American Financial Group Inc. 5.125% Subordinated Debentures due 2059,Finance,Property-Casualty Insurers
AFGD,American Financial Group Inc. 5.625% Subordinated Debentures due 2060,Finance,Property-Casualty Insurers
AFGE,American Financial Group Inc. 4.500% Subordinated Debentures due 2060,Finance,Property-Casualty Insurers
AFJK,Aimei Health Technology Co. Ltd Ordinary Share,,
AFJKR,Aimei Health Technology Co. Ltd Right,,
AFL,AFLAC Incorporated Common Stock,Finance,Accident &Health Insurance
AFRM,Affirm Holdings Inc. Class A Common Stock,Finance,Finance: Consumer Services
AGAE,Allied Gaming & Entertainment Inc. Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
AGCO,AGCO Corporation Common Stock,Industrials,Industrial Machinery/Components
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,Finance,Trusts Except Educational Religious and Charitable
AGEN,Agenus Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGH,Aureus Greenway Holdings Inc. Common Stock,Consumer Discretionary,Hotels/Resorts
AGIG,Abundia Global Impact Group Inc. Common stock,Energy,Oil & Gas Production
AGIO,Agios Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AGL,agilon health inc. Common Stock,Health Care,Misc Health and Biotechnology Services
AGM,Federal Agricultural Mortgage Corporation Common Stock,Finance,Finance Companies
AGM^D,Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D,,
AGM^E,Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E,,
AGM^F,Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F,,
AGM^G,Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G,,
AGM^H,Federal Agricultural Mortgage Corporation 6.500% Non-Cumulative Preferred Stock Series H,,
AGNC,AGNC Investment Corp. Common Stock,Real Estate,Real Estate Investment Trusts
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
AGNCZ,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock,,
AGNT,eXp World Holdings Inc. Common Stock,Finance,Real Estate
AGPU,Axe Compute Inc. Common Stock,Health Care,Industrial Specialties
AGX,Argan Inc. Common Stock,Consumer Discretionary,Engineering & Construction
AGYS,Agilysys Inc. Common Stock (DE),Technology,EDP Services
AHCO,AdaptHealth Corp. Common Stock,Health Care,Medical/Nursing Services
AHR,American Healthcare REIT Inc. Common Stock,Real Estate,Real Estate Investment Trusts
AHRT,AH Realty Trust Inc. Common Stock,Finance,Real Estate
AHRT^A,AH Realty Trust Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock,,
AHT,Ashford Hospitality Trust Inc Common Stock,Real Estate,Real Estate Investment Trusts
AHT^D,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,,
AHT^F,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,,
AHT^G,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,,
AHT^H,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,,
AHT^I,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,,
AI,C3.ai Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
AIDX,20/20 Biolabs Inc. Common Stock,Health Care,Precision Instruments
AIFC,AI Financial Corporation Common Stock,Finance,Finance: Consumer Services
AIFF,Firefly Neuroscience Inc. Common Stock,Technology,Computer Software: Prepackaged Software
AIG,American International Group Inc. New Common Stock,Finance,Life Insurance
AII,American Integrity Insurance Group Inc. Common Stock,Finance,Property-Casualty Insurers
AIMD,Ainos Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AIMDW,Ainos Inc. Warrants,Health Care,Biotechnology: Pharmaceutical Preparations
AIN,Albany International Corporation Common Stock,Consumer Discretionary,Textiles
AIOT,PowerFleet Inc. Common Stock,Telecommunications,Telecommunications Equipment
AIP,Arteris Inc. Common Stock,Technology,Semiconductors
AIR,AAR Corp. Common Stock,Industrials,Aerospace
AIRE,reAlpha Tech Corp. Common Stock,Finance,Real Estate
AIRG,Airgain Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
AIRI,Air Industries Group Common Stock,Industrials,Military/Government/Technical
AIRJ,AirJoule Technologies Corporation Class A Common Stock,Industrials,Industrial Machinery/Components
AIRJW,AirJoule Technologies Corporation Warrant,Industrials,Industrial Machinery/Components
AIRO,AIRO Group Holdings Inc. Common Stock,Industrials,Aerospace
AIRS,AirSculpt Technologies Inc. Common Stock,Health Care,Medical/Nursing Services
AIRT,Air T Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,Consumer Discretionary,Air Freight/Delivery Services
AISP,Airship AI Holdings Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
AISPW,Airship AI Holdings Inc. Warrants,Technology,Computer Software: Prepackaged Software
AIT,Applied Industrial Technologies Inc. Common Stock,Consumer Discretionary,Industrial Specialties
AIV,Apartment Investment and Management Company Common Stock,Real Estate,Real Estate Investment Trusts
AIXC,AIxCrypto Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AIZ,Assurant Inc. Common Stock,Finance,Property-Casualty Insurers
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,Finance,Property-Casualty Insurers
AJG,Arthur J. Gallagher & Co. Common Stock,Finance,Specialty Insurers
AKAM,Akamai Technologies Inc. Common Stock,Real Estate,Real Estate
AKBA,Akebia Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AKR,Acadia Realty Trust Common Stock,Real Estate,Real Estate Investment Trusts
AKTS,Aktis Oncology Inc. Common stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALAB,Astera Labs Inc. Common Stock,Technology,Semiconductors
ALB,Albemarle Corporation Common Stock,Industrials,Major Chemicals
ALB^A,Albemarle Corporation Depositary Shares each representing a 1/20th of 7.25% Series A Mandatory Convertible Preferred Stock,,
ALBT,Avalon GloboCare Corp. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALCO,Alico Inc. Common Stock,,
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,Finance,Blank Checks
ALCYU,Alchemy Investments Acquisition Corp 1 Units,Finance,Blank Checks
ALCYW,Alchemy Investments Acquisition Corp 1 Warrants,Finance,Blank Checks
ALDF,Aldel Financial II Inc. Class A Ordinary Shares,,
ALDFU,Aldel Financial II Inc. Units,Finance,Blank Checks
ALDFW,Aldel Financial II Inc. Warrants,Finance,Blank Checks
ALDX,Aldeyra Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALEC,Alector Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALF,Centurion Acquisition Corp. Class A Ordinary Shares,,
ALFUW,Centurion Acquisition Corp. Warrant,Finance,Blank Checks
ALG,Alamo Group Inc. Common Stock,Industrials,Industrial Machinery/Components
ALGM,Allegro MicroSystems Inc. Common Stock,Technology,Semiconductors
ALGN,Align Technology Inc. Common Stock,Health Care,Industrial Specialties
ALGS,Aligos Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALGT,Allegiant Travel Company Common Stock,Consumer Discretionary,Air Freight/Delivery Services
ALH,Alliance Laundry Holdings Inc. Common Stock,Industrials,Industrial Machinery/Components
ALHC,Alignment Healthcare Inc. Common Stock,Health Care,Medical Specialities
ALIS,Calisa Acquisition Corp Ordinary shares,,
ALISR,Calisa Acquisition Corp Right,Finance,Blank Checks
ALIT,Alight Inc. Class A Common Stock,Real Estate,Real Estate
ALK,Alaska Air Group Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
ALKT,Alkami Technology Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ALL,Allstate Corporation (The) Common Stock,Finance,Property-Casualty Insurers
ALL^B,Allstate Corporation (The) 5.100% Fixed-to-Floating Rate Subordinated Debentures due 2053,,
ALL^H,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series H,,
ALL^I,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series I,,
ALL^J,Allstate Corporation (The) Depositary Shares each representing a 1/1000th interest in a share of Fixed Rate Noncumulative Perpetual Preferred Stock Series J,,
ALLE,Allegion plc Ordinary Shares,Consumer Discretionary,Diversified Commercial Services
ALLO,Allogene Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLR,Allarity Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALLY,Ally Financial Inc. Common Stock,Finance,Major Banks
ALMR,Alamar Biosciences Inc. Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments
ALMS,Alumis Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALMU,Aeluma Inc. Common Stock,Technology,Semiconductors
ALNT,Allient Inc. Common Stock,Industrials,Electrical Products
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALOT,AstroNova Inc. Common Stock,Technology,Computer peripheral equipment
ALOV,Aldabra 4 Liquidity Opportunity Vehicle Inc. Class A Ordinary Shares,,
ALOVU,Aldabra 4 Liquidity Opportunity Vehicle Inc. Units,Finance,Blank Checks
ALOVW,Aldabra 4 Liquidity Opportunity Vehicle Inc. Warrants,,
ALOY,REalloys Inc. Common Stock,Technology,EDP Services
ALRM,Alarm.com Holdings Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ALRS,Alerus Financial Corporation Common Stock,Finance,Major Banks
ALSN,Allison Transmission Holdings Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
ALT,Altimmune Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALTG,Alta Equipment Group Inc. Class A Common Stock,Industrials,Industrial Machinery/Components
ALTG^A,Alta Equipment Group Inc. Depositary Shares (each representing 1/1000th in a share of 10% Series A Cumulative Perpetual Preferred Stock),,
ALTI,AlTi Global Inc. Class A Common Stock,Finance,Investment Managers
ALTO,Alto Ingredients Inc. Common Stock,Industrials,Major Chemicals
ALX,Alexander's Inc. Common Stock,Real Estate,Real Estate Investment Trusts
ALXO,ALX Oncology Holdings Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ALZN,Alzamend Neuro Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AM,Antero Midstream Corporation Common Stock,Utilities,Natural Gas Distribution
AMAL,Amalgamated Financial Corp. Common Stock (DE),Finance,Major Banks
AMAT,Applied Materials Inc. Common Stock,Technology,Semiconductors
AMBA,Ambarella Inc. Ordinary Shares,Technology,Semiconductors
AMBQ,Ambiq Micro Inc. Common Stock,Technology,Semiconductors
AMC,AMC Entertainment Holdings Inc. Class A Common Stock,Consumer Discretionary,Movies/Entertainment
AMCI,AMC Robotics Corporation Common Stock,Consumer Discretionary,Home Furnishings
AMCX,AMC Global Media Inc. Class A Common Stock,Telecommunications,Cable & Other Pay Television Services
AMD,Advanced Micro Devices Inc. Common Stock,Technology,Semiconductors
AME,AMETEK Inc.,Industrials,Industrial Machinery/Components
AMG,Affiliated Managers Group Inc. Common Stock,Finance,Investment Managers
AMGN,Amgen Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMH,American Homes 4 Rent Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts
AMH^G,American Homes 4 Rent Series G cumulative redeemable perpetual preferred shares of beneficial interest,,
AMH^H,American Homes 4 Rent Series H cumulative redeemable perpetual Preferred Shares of Beneficial Interest,,
AMIX,Autonomix Medical Inc. Common Stock,Health Care,Medical/Dental Instruments
AMKR,Amkor Technology Inc. Common Stock,Technology,Semiconductors
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AMN,AMN Healthcare Services Inc,Consumer Discretionary,Professional Services
AMOD,Alpha Modus Holdings Inc. Class A Common Stock,Miscellaneous,Multi-Sector Companies
AMP,Ameriprise Financial Inc. Common Stock,Finance,Investment Managers
AMPG,Amplitech Group Inc. Common Stock,Telecommunications,Telecommunications Equipment
AMPGR,Amplitech Group Inc. Series A Right,Telecommunications,Telecommunications Equipment
AMPGZ,Amplitech Group Inc. Series B Right,Telecommunications,Telecommunications Equipment
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AMPL,Amplitude Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
AMPX,Amprius Technologies Inc. Common Stock,Miscellaneous,Industrial Machinery/Components
AMPY,Amplify Energy Corp. Common Stock,Energy,Oil & Gas Production
AMR,Alpha Metallurgical Resources Inc. Common Stock,Energy,Coal Mining
AMRC,Ameresco Inc. Class A Common Stock,Consumer Discretionary,Engineering & Construction
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,Health Care,Medical Specialities
AMSC,American Superconductor Corporation Common Stock,Consumer Discretionary,Metal Fabrications
AMSF,AMERISAFE Inc. Common Stock,Finance,Property-Casualty Insurers
AMST,Amesite Inc. Common Stock,Technology,Computer Software: Prepackaged Software
AMT,American Tower Corporation (REIT) Common Stock,Real Estate,Real Estate Investment Trusts
AMTB,Amerant Bancorp Inc. Class A Common Stock,Finance,Major Banks
AMTM,Amentum Holdings Inc. Common Stock,Real Estate,Real Estate
AMTX,Aemetis Inc. (DE) Common Stock,Industrials,Major Chemicals
AMWD,American Woodmark Corporation Common Stock,Basic Materials,Forest Products
AMWL,American Well Corporation Class A Common Stock,Real Estate,Real Estate
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
AN,AutoNation Inc. Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ANAB,AnaptysBio Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ANDE,Andersons Inc. (The) Common Stock,Industrials,Farming/Seeds/Milling
ANET,Arista Networks Inc. Common Stock,Telecommunications,Computer Communications Equipment
ANF,Abercrombie & Fitch Company Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
ANG^D,American National Group Inc. Depositary Shares each representing a 1/1000th interest in a share of 7.375% Fixed-Rate Non-Cumulative Preferred Stock Series D,,
ANGI,Angi Inc. Class A Common Stock,Consumer Discretionary,Advertising
ANGO,AngioDynamics Inc. Common Stock,Health Care,Medical/Dental Instruments
ANGX,Angel Studios Inc. Class A Common Stock,Consumer Discretionary,Movies/Entertainment
ANIK,Anika Therapeutics Inc. Common Stock,Health Care,Medical/Dental Instruments
ANIP,ANI Pharmaceuticals Inc.,Health Care,Biotechnology: Pharmaceutical Preparations
ANIX,Anixa Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ANNA,AleAnna Inc. Class A Common Stock,Energy,Oil & Gas Production
ANNAW,AleAnna Inc. Warrant,Energy,Oil & Gas Production
ANNX,Annexon Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ANRO,Alto Neuroscience Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
ANSC,Agriculture & Natural Solutions Acquisition Corporation Class A Ordinary Shares,,
